자치구,정류장수,노선수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수
강남구,502,99,9113021,8640353,135.1639079232298,128.1533179081012
강동구,377,24,3307509,3243079,94.52996656091915,92.6885306810712
강북구,410,71,5244436,5077041,138.24430619991566,133.83174293547026
강서구,565,54,5244615,5218001,93.10683662056844,92.63436240657565
관악구,468,84,7718064,7877383,147.41789704899244,150.46094928851113
광진구,280,43,3207958,3229422,118.49726654846336,119.29011524822695
구로구,478,81,5525646,5324566,125.11935330480266,120.5662205918982
금천구,346,56,4047463,3867726,130.71089940255126,124.90637816890037
노원구,496,61,4620967,4539578,88.85108060298415,87.28614828487925
도봉구,368,58,3588702,3522933,110.58492542832491,108.55827067669173
동대문구,310,75,5887538,5770891,135.41730110173194,132.73434229592658
동작구,443,99,5490525,5300778,120.01409866882337,115.8665326018055
마포구,567,105,6154455,5970352,106.6094164111625,103.42032600599352
서대문구,460,109,6645392,6563585,113.90798765855331,112.50574220089133
서초구,602,105,7776846,7575195,125.08196352172934,121.83863029562197
성동구,433,58,3189518,3135031,100.78102881698686,99.05937184024268
성북구,600,100,6618311,6646004,116.55033899797482,117.03802060403275
송파구,476,62,6172655,6176516,107.37293000278319,107.44009184525466
양천구,323,57,4483724,4311161,102.1954688425947,98.26231936910243
영등포구,470,103,6559239,6617091,125.09514818629134,126.19847808673761
용산구,325,70,4764100,4663071,136.0821503042075,133.19634951012597
은평구,494,76,5723211,5636929,103.49199833637728,101.93177338565306
종로구,359,107,6030756,5793573,136.74563511858872,131.36757970160085
중구,172,102,4384564,4238810,132.19259527255187,127.79817896767969
중랑구,426,52,4236010,4197788,81.34284507258621,80.60887933020969
