자치구,정류장수,노선수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수,평균 이동 시간(분),이동인구(합),총 이동 시간,총 이동인구,한식 일반 음식점업,커피전문점,기타주점업,택시운송업,일반 교과 학원,남자,여자,합계
강남구,502,99,9113021,8640353,135.1639079232298,128.1533179081012,65.22087410669019,89.88008250744859,37563832,51766253.76,11486,7273,2528,2517,9020,268993,293762,562755
강동구,377,24,3307509,3243079,94.52996656091916,92.6885306810712,71.13569503514583,67.08811103937012,27212889,25664489.79,3388,1660,1349,4980,2104,228197,239705,467902
강북구,410,71,5244436,5077041,138.24430619991566,133.83174293547026,65.25879577198943,38.29078034837944,24201877,14200518.8,2663,1095,1275,2589,740,139260,150567,289827
강서구,565,54,5244615,5218001,93.10683662056844,92.63436240657563,70.10782868612124,59.54752675213072,30772920,26137612.75,4584,2530,1709,6922,2347,270025,294460,564485
관악구,468,84,7718064,7877383,147.41789704899244,150.46094928851113,63.06453645097453,47.985346135322494,27629141,21022812.01,3689,2049,1672,2027,1230,248571,248566,497137
광진구,280,43,3207958,3229422,118.49726654846336,119.29011524822695,60.20526214840974,44.34491340697032,26680865,19652113.55,2861,1887,1577,1744,1646,166541,183141,349682
구로구,478,81,5525646,5324566,125.11935330480266,120.5662205918982,63.98318628551351,43.32198900069295,26223125,17755257.26,3215,1384,1165,3817,1111,203142,209735,412877
금천구,346,56,4047463,3867726,130.71089940255126,124.90637816890036,65.84880668178842,30.79933995516377,19914918,9314767.58,2619,1215,685,2598,487,121008,119081,240089
노원구,496,61,4620967,4539578,88.85108060298415,87.28614828487925,66.70598442525817,52.34409020371312,28370322,22262150.94,2650,1748,844,6074,3281,239118,260343,499461
도봉구,368,58,3588702,3522933,110.58492542832492,108.55827067669172,66.68330823005758,36.91502567580661,22711868,12572999.34,2009,837,477,5783,1162,148622,159162,307784
동대문구,310,75,5887538,5770891,135.41730110173194,132.73434229592658,59.20657938157765,39.15035822759002,28168063,18626135.28,3566,1472,1082,2093,984,173830,185713,359543
동작구,443,99,5490525,5300778,120.01409866882337,115.8665326018055,58.50026597610969,40.63109281094871,25843604,17949557.24,2322,1628,955,1115,1463,187138,201865,389003
마포구,567,105,6154455,5970352,106.6094164111625,103.42032600599352,60.9428149474513,52.70697631661514,30495358,26374202.0,4705,4475,2559,1838,1855,173001,200763,373764
서대문구,460,109,6645392,6563585,113.90798765855332,112.50574220089132,59.917230251949135,41.51741540579269,26552021,18398235.05,2694,1323,1127,2677,1268,148914,170489,319403
서초구,602,105,7776846,7575195,125.08196352172934,121.83863029562195,63.284076509057904,64.60808810040709,32910441,33598983.96,6712,3897,1255,903,3812,196114,216033,412147
성동구,433,58,3189518,3135031,100.78102881698686,99.05937184024268,57.4874003813416,40.110183670423325,27346124,19079973.16,2785,1859,621,2527,1494,136779,146555,283334
성북구,600,100,6618311,6646004,116.55033899797482,117.03802060403277,59.97535546433458,43.4258608058608,28227521,20438468.24,2822,1384,1030,2643,1755,207616,228447,436063
송파구,476,62,6172655,6176516,107.3729300027832,107.44009184525466,70.60643281179148,83.34536569638526,33944325,40068617.94,5760,3372,1469,4850,4160,315700,342660,658360
양천구,323,57,4483724,4311161,102.1954688425947,98.26231936910244,61.75158382132644,45.073535367016206,22672094,16548748.51,2800,1375,851,4942,5804,212458,223849,436307
영등포구,470,103,6559239,6617091,125.09514818629134,126.1984780867376,60.477099741875705,55.98586323694876,31067449,28760273.86,6476,3295,1489,2397,1082,195211,202610,397821
용산구,325,70,4764100,4663071,136.0821503042075,133.19634951012597,57.79926683793813,35.598386528361736,26930239,16586249.44,2987,2076,1332,523,573,105480,113343,218823
은평구,494,76,5723211,5636929,103.49199833637728,101.93177338565306,68.03644099100633,50.992605701141954,25970394,19464540.5,2585,1296,925,4430,1793,221603,246686,468289
종로구,359,107,6030756,5793573,136.74563511858872,131.36757970160085,58.19468469598792,41.92466943771021,28757369,20717410.8,5912,3613,1413,215,382,71654,78390,150044
중구,172,102,4384564,4238810,132.19259527255187,127.79817896767968,56.49542517179211,43.89537420564166,28421662,22082840.96,6414,3542,982,235,175,63365,68392,131757
중랑구,426,52,4236010,4197788,81.34284507258621,80.60887933020969,62.80619954551732,39.61174222545856,25012883,15775574.4,2479,1037,1000,6262,1045,188685,197925,386610
